sector,lat,long
1,39.38333511352539062500,-122.13333892822265625000
2,39.29999542236328125000,-122.13333892822265625000
3,39.21666717529296875000,-122.13333892822265625000
4,39.13333511352539062500,-122.13333892822265625000
5,39.04999542236328125000,-122.13333892822265625000
6,39.38333511352539062500,-122.05000305175781250000
7,39.29999542236328125000,-122.05000305175781250000
8,39.21666717529296875000,-122.05000305175781250000
9,39.13333511352539062500,-122.05000305175781250000
10,39.04999542236328125000,-122.05000305175781250000
11,38.96666717529296875000,-122.05000305175781250000
12,39.38333511352539062500,-121.96665954589843750000
13,39.29999542236328125000,-121.96665954589843750000
14,39.21666717529296875000,-121.96665954589843750000
15,39.13333511352539062500,-121.96665954589843750000
16,39.04999542236328125000,-121.96665954589843750000
17,38.96666717529296875000,-121.96665954589843750000
18,39.38333511352539062500,-121.88333892822265625000
19,39.13333511352539062500,-121.88333892822265625000
20,39.04999542236328125000,-121.88333892822265625000
21,38.96666717529296875000,-121.88333892822265625000
22,38.88333511352539062500,-121.88333892822265625000
23,39.38333511352539062500,-121.80000305175781250000
24,39.13333511352539062500,-121.80000305175781250000
25,39.04999542236328125000,-121.80000305175781250000
26,38.96666717529296875000,-121.80000305175781250000
27,38.88333511352539062500,-121.80000305175781250000
28,38.79999542236328125000,-121.80000305175781250000
29,39.38333511352539062500,-121.71665954589843750000
30,39.29999542236328125000,-121.71665954589843750000
31,39.21666717529296875000,-121.71665954589843750000
32,39.13333511352539062500,-121.71665954589843750000
33,39.04999542236328125000,-121.71665954589843750000
34,38.96666717529296875000,-121.71665954589843750000
35,38.88333511352539062500,-121.71665954589843750000
36,38.79999542236328125000,-121.71665954589843750000
37,39.38333511352539062500,-121.63333892822265625000
38,39.29999542236328125000,-121.63333892822265625000
39,39.21666717529296875000,-121.63333892822265625000
40,39.04999542236328125000,-121.63333892822265625000
41,38.96666717529296875000,-121.63333892822265625000
42,38.88333511352539062500,-121.63333892822265625000
43,38.79999542236328125000,-121.63333892822265625000
